yourlist:M20210624A084FC58F6BBA219896F365D15F2EB44096701P	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
RPL19	P84098	RL19_HUMAN	reviewed	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19	Homo sapiens (Human)	196
RPL35	P42766	RL35_HUMAN	reviewed	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	RPL35	Homo sapiens (Human)	123
CAPRIN1	Q14444	CAPR1_HUMAN	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105	Homo sapiens (Human)	709
RPL31	P62899	RL31_HUMAN	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31	Homo sapiens (Human)	125
RPL13	P26373	RL13_HUMAN	reviewed	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	RPL13 BBC1 OK/SW-cl.46	Homo sapiens (Human)	211
RPS18	P62269	RS18_HUMAN	reviewed	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	Homo sapiens (Human)	152
RPS3A	P61247	RS3A_HUMAN	reviewed	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
ALYREF	Q86V81	THOC4_HUMAN	reviewed	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	ALYREF ALY BEF THOC4	Homo sapiens (Human)	257
RPS9	P46781	RS9_HUMAN	reviewed	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	RPS9	Homo sapiens (Human)	194
RPS19	P39019	RS19_HUMAN	reviewed	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	RPS19	Homo sapiens (Human)	145
RPS16	P62249	RS16_HUMAN	reviewed	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16	Homo sapiens (Human)	146
RPS5	P46782	RS5_HUMAN	reviewed	40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]	RPS5	Homo sapiens (Human)	204
RPL24	P83731	RL24_HUMAN	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	RPL24	Homo sapiens (Human)	157
RPS8	P62241	RS8_HUMAN	reviewed	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208
RPL26	P61254	RL26_HUMAN	reviewed	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	RPL26	Homo sapiens (Human)	145
RPL22	P35268	RL22_HUMAN	reviewed	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22	Homo sapiens (Human)	128
YBX1	P67809	YBOX1_HUMAN	reviewed	Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
RPS11	P62280	RS11_HUMAN	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158
RPS10	P46783	RS10_HUMAN	reviewed	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	RPS10	Homo sapiens (Human)	165
RPS17	P08708	RS17_HUMAN	reviewed	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	RPS17 RPS17L	Homo sapiens (Human)	135
RPS25	P62851	RS25_HUMAN	reviewed	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25	Homo sapiens (Human)	125
SFRS4	Q08170	SRSF4_HUMAN	reviewed	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
RPS3	P23396	RS3_HUMAN	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
RPL4	P36578	RL4_HUMAN	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	RPL4 RPL1	Homo sapiens (Human)	427
RPS14	P62263	RS14_HUMAN	reviewed	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14 PRO2640	Homo sapiens (Human)	151
RPS26	P62854	RS26_HUMAN	reviewed	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26	Homo sapiens (Human)	115
SFRS3	P84103	SRSF3_HUMAN	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
RPS23	P62266	RS23_HUMAN	reviewed	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	RPS23	Homo sapiens (Human)	143
RPS12	P25398	RS12_HUMAN	reviewed	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	RPS12	Homo sapiens (Human)	132
RPL15	P61313	RL15_HUMAN	reviewed	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	RPL15 EC45 TCBAP0781	Homo sapiens (Human)	204
RPS13	P62277	RS13_HUMAN	reviewed	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13	Homo sapiens (Human)	151
HIST1H1D	P16402	H13_HUMAN	reviewed	Histone H1.3 (Histone H1c) (Histone H1s-2)	H1-3 H1F3 HIST1H1D	Homo sapiens (Human)	221
RPS29	P62273	RS29_HUMAN	reviewed	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	RPS29	Homo sapiens (Human)	56
GSK3A	P49840	GSK3A_HUMAN	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
RPS15A	P62244	RS15A_HUMAN	reviewed	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	RPS15A OK/SW-cl.82	Homo sapiens (Human)	130
RPL13A	P40429	RL13A_HUMAN	reviewed	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	RPL13A	Homo sapiens (Human)	203
